pipeline,identifier_type,identifier,eid,pid,probe_name,request_kind,object_or_dataset,collection,required,purpose
opto_behavior,eid,3ada9be9-f292-4716-807e-ab3b912283d6,3ada9be9-f292-4716-807e-ab3b912283d6,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3ada9be9-f292-4716-807e-ab3b912283d6,3ada9be9-f292-4716-807e-ab3b912283d6,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3ada9be9-f292-4716-807e-ab3b912283d6,3ada9be9-f292-4716-807e-ab3b912283d6,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3ada9be9-f292-4716-807e-ab3b912283d6,3ada9be9-f292-4716-807e-ab3b912283d6,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3aedd7d5-b3e1-4617-99e4-3923c19105c9,3aedd7d5-b3e1-4617-99e4-3923c19105c9,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3aedd7d5-b3e1-4617-99e4-3923c19105c9,3aedd7d5-b3e1-4617-99e4-3923c19105c9,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3aedd7d5-b3e1-4617-99e4-3923c19105c9,3aedd7d5-b3e1-4617-99e4-3923c19105c9,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3aedd7d5-b3e1-4617-99e4-3923c19105c9,3aedd7d5-b3e1-4617-99e4-3923c19105c9,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3b2314e9-d3c4-4fc3-be3d-544635f360db,3b2314e9-d3c4-4fc3-be3d-544635f360db,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3b2314e9-d3c4-4fc3-be3d-544635f360db,3b2314e9-d3c4-4fc3-be3d-544635f360db,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3b2314e9-d3c4-4fc3-be3d-544635f360db,3b2314e9-d3c4-4fc3-be3d-544635f360db,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3b2314e9-d3c4-4fc3-be3d-544635f360db,3b2314e9-d3c4-4fc3-be3d-544635f360db,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3bec32f7-9c81-41be-bd39-dd5f9056fee5,3bec32f7-9c81-41be-bd39-dd5f9056fee5,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3bec32f7-9c81-41be-bd39-dd5f9056fee5,3bec32f7-9c81-41be-bd39-dd5f9056fee5,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3bec32f7-9c81-41be-bd39-dd5f9056fee5,3bec32f7-9c81-41be-bd39-dd5f9056fee5,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
