identifier_type,identifier,pipelines,figure_profiles,metadata_rows,mouse,eid,pid,probe_name
pid,60668d72-b4ba-4c59-830a-915458f62192,ephys_bs,,1,SWC_NM_024,4f54fbea-064c-4a5b-942f-684fd5c28692,60668d72-b4ba-4c59-830a-915458f62192,probe01
pid,6509394a-ee93-4164-a516-d4d483fb5da0,ephys_bs,,1,SWC_NM_025,f453dd8b-8edc-4885-af0b-e9b92a3b8703,6509394a-ee93-4164-a516-d4d483fb5da0,probe01
pid,68288763-9572-4678-9eb4-3866e3e9fb3d,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_102,881c6abc-b885-4793-be49-ae17ed4e42fe,68288763-9572-4678-9eb4-3866e3e9fb3d,probe01
pid,6bf18fe0-fca9-4cd3-aa69-546d34d24c12,ephys_bs,,1,SWC_NM_102,881c6abc-b885-4793-be49-ae17ed4e42fe,6bf18fe0-fca9-4cd3-aa69-546d34d24c12,probe00
pid,6bfade8f-e22a-42fa-b8d0-8c22d172c237,ephys_bs,,1,SWC_NM_025,513b8846-b3f5-4fb9-892f-db3bcd520054,6bfade8f-e22a-42fa-b8d0-8c22d172c237,probe01
pid,6ee63cc8-37ef-49ff-8c00-70a03e503725,ephys_bs,,1,SWC_NM_025,827fb7d6-4680-42b6-a7cd-c95b393a8502,6ee63cc8-37ef-49ff-8c00-70a03e503725,probe00
pid,72b7c463-ed30-4c24-8ddf-5e8eddafc46e,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_096,8d5ea7ad-ecdc-408f-8237-f27a8d2eaab9,72b7c463-ed30-4c24-8ddf-5e8eddafc46e,probe00
pid,7778d726-767e-4d1b-a879-01faf2075828,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_096,229e8bba-986d-408b-abb7-ec7fdb02e2f4,7778d726-767e-4d1b-a879-01faf2075828,probe00
pid,77946f89-7b49-43b0-b34d-c17fc70504c4,ephys_bs,,1,SWC_NM_102,6b528511-4da3-4d31-888e-0299397bdbdb,77946f89-7b49-43b0-b34d-c17fc70504c4,probe00
pid,77c33d3e-8b71-43f9-9a9c-b7dc49a25e30,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,146c1185-5785-4550-be7f-129322d1063d,77c33d3e-8b71-43f9-9a9c-b7dc49a25e30,probe01
pid,7a79b7cf-4d29-4a83-8d33-6bd3e4ef3307,ephys_bs,,1,SWC_NM_096,229e8bba-986d-408b-abb7-ec7fdb02e2f4,7a79b7cf-4d29-4a83-8d33-6bd3e4ef3307,probe01
pid,7f712873-42c8-42bc-a782-76b03ae3fb0f,ephys_bs,,1,SWC_NM_022,b7b8153b-a6b5-4bab-9759-130e71a777d1,7f712873-42c8-42bc-a782-76b03ae3fb0f,probe01
pid,7f94e86e-3a8b-4026-b120-89eeadf45a8d,ephys_bs,,1,SWC_NM_022,b7b8153b-a6b5-4bab-9759-130e71a777d1,7f94e86e-3a8b-4026-b120-89eeadf45a8d,probe00
pid,820e6e2f-4a1d-4777-8d67-5a62d382efa0,ephys_bs,,1,SWC_NM_111,9d306baa-31cb-4c02-9577-f3113d2fc77d,820e6e2f-4a1d-4777-8d67-5a62d382efa0,probe01
pid,85caca51-d501-4d81-85f2-74f084c7e99e,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,f1e2b348-cdb5-4c0d-9ad2-41f16e47ec0a,85caca51-d501-4d81-85f2-74f084c7e99e,probe01
pid,89c36fa2-e889-46a2-af2f-ee0fad10de43,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,fb97795b-8960-42fd-98c0-52e862fe1970,89c36fa2-e889-46a2-af2f-ee0fad10de43,probe01
pid,930adc32-438a-4548-a741-dc8a487ebd4f,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_096,d2a43b28-bf31-42b5-b472-d977b67d79a6,930adc32-438a-4548-a741-dc8a487ebd4f,probe01
pid,94a5c20d-82be-4040-80cc-03ef2e5854df,ephys_bs,,1,SWC_NM_096,d5b1e763-aef9-412d-ade0-db38692ce19b,94a5c20d-82be-4040-80cc-03ef2e5854df,probe00
pid,9583d73c-ee29-45d1-9aa1-2b5917bcf726,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_102,289c4d50-12f0-4ccf-889e-ded84dfb6c1f,9583d73c-ee29-45d1-9aa1-2b5917bcf726,probe00
pid,966d7f41-bca0-425a-8216-3a757231ea64,ephys_bs,,1,SWC_NM_111,9d306baa-31cb-4c02-9577-f3113d2fc77d,966d7f41-bca0-425a-8216-3a757231ea64,probe00
pid,9c43c3e2-1019-4e66-b8b2-b8b693fa5254,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,146c1185-5785-4550-be7f-129322d1063d,9c43c3e2-1019-4e66-b8b2-b8b693fa5254,probe00
